genome	lat	long	code	collection_date	location	lineage	submission_date
hCoV-19/Brazil/PE-0238/2020	-8.38	-37.86	EPI_ISL_470612	2020-04-03	PE	B.1.1.28	2020-06-18
hCoV-19/Brazil/PE-AMU0036/2020	-8.2846	-35.9699	EPI_ISL_502779	2020-06-24	Caruaru	B.1	2020-07-31
hCoV-19/Brazil/PE-BA1200-1028438/2020	-8.0467	-34.8771	EPI_ISL_2241533	2020-12-21	Recife	B.1.212	2021-05-24
hCoV-19/Brazil/PE-BA1200-260319984/2020	-8.0467	-34.8771	EPI_ISL_2241530	2020-12-21	Recife	P.2	2021-05-24
